initial_deg,converged,converged_true,final_omega2_deg,error_deg,frob_err,final_E,iters
10.0,False,False,nan,nan,nan,nan,-1
10.1,False,False,nan,nan,nan,nan,-1
10.2,False,False,nan,nan,nan,nan,-1
10.3,False,False,nan,nan,nan,nan,-1
10.4,False,False,nan,nan,nan,nan,-1
10.5,False,False,nan,nan,nan,nan,-1
10.6,False,False,nan,nan,nan,nan,-1
10.7,False,False,nan,nan,nan,nan,-1
10.8,False,False,nan,nan,nan,nan,-1
10.9,False,False,nan,nan,nan,nan,-1
11.0,False,False,nan,nan,nan,nan,-1
11.1,False,False,nan,nan,nan,nan,-1
11.2,False,False,nan,nan,nan,nan,-1
11.3,False,False,nan,nan,nan,nan,-1
11.4,False,False,nan,nan,nan,nan,-1
11.5,False,False,nan,nan,nan,nan,-1
11.6,False,False,nan,nan,nan,nan,-1
11.7,False,False,nan,nan,nan,nan,-1
11.8,False,False,nan,nan,nan,nan,-1
11.9,False,False,nan,nan,nan,nan,-1
12.0,False,False,nan,nan,nan,nan,-1
12.1,False,False,nan,nan,nan,nan,-1
12.2,False,False,nan,nan,nan,nan,-1
12.3,False,False,nan,nan,nan,nan,-1
12.4,False,False,nan,nan,nan,nan,-1
12.5,False,False,nan,nan,nan,nan,-1
12.6,False,False,nan,nan,nan,nan,-1
12.7,False,False,nan,nan,nan,nan,-1
12.8,False,False,nan,nan,nan,nan,-1
12.9,False,False,nan,nan,nan,nan,-1
13.0,False,False,nan,nan,nan,nan,-1
13.1,False,False,nan,nan,nan,nan,-1
13.2,False,False,nan,nan,nan,nan,-1
13.3,False,False,nan,nan,nan,nan,-1
13.4,False,False,nan,nan,nan,nan,-1
13.5,False,False,nan,nan,nan,nan,-1
13.6,False,False,nan,nan,nan,nan,-1
13.7,True,True,4.698253920071697e-05,-14.999953017460799,3.53e-06,3.2511060282,64
13.8,True,True,4.870141258610825e-05,-14.999951298587414,3.69e-06,3.2511052283,58
13.9,True,True,4.698253920071697e-05,-14.999953017460799,3.66e-06,3.2511055695,54
14.0,True,True,2.75019741662774e-05,-14.999972498025834,1.86e-06,3.2511457777,47
14.1,True,True,4.3544792429934186e-05,-14.99995645520757,3.52e-06,3.2511055672,44
14.2,True,True,4.7555496995847405e-05,-14.999952444503004,3.75e-06,3.2511037769,38
14.3,True,True,3.838817227375942e-05,-14.999961611827727,2.91e-06,3.2511117081,34
14.4,True,True,3.953408786402053e-05,-14.999960465912135,3.1e-06,3.2511076243,30
14.5,True,True,4.4690708020195153e-05,-14.99995530929198,3.74e-06,3.2511022852,34
14.6,True,True,2.2918311805231706e-05,-14.999977081688195,1.57e-06,3.2511555375,23
14.7,True,True,2.864788975653877e-05,-14.999971352110244,2.96e-06,3.2511080042,20
14.8,True,True,2.75019741662774e-05,-14.999972498025834,3.06e-06,3.2511052603,18
14.9,True,True,1.1459155902616312e-05,-14.999988540844097,1.02e-06,3.2511725187,15
15.0,True,True,2.0626480624708745e-05,-14.999979373519375,1.35e-06,3.2511659526,9
15.1,True,True,1.5469860468531853e-05,-14.999984530139532,1.03e-06,3.2511771868,16
15.2,True,True,2.0053522829577994e-05,-14.99997994647717,1.53e-06,3.2511499338,19
15.3,True,True,2.0053522829577994e-05,-14.99997994647717,1.5e-06,3.2511515875,21
15.4,True,True,4.411775022506468e-05,-14.999955882249775,3.51e-06,3.2511053929,22
15.5,True,True,2.463718519062388e-05,-14.99997536281481,1.79e-06,3.2511412627,27
15.6,True,True,2.2918311805231706e-05,-14.999977081688195,1.57e-06,3.2511522743,31
15.7,True,True,2.2918311805231706e-05,-14.999977081688195,1.56e-06,3.2511532344,35
