initial_deg,converged,converged_true,final_omega2_deg,error_deg,frob_err,final_E,iters
10.0,False,False,nan,nan,nan,nan,-1
10.1,False,False,nan,nan,nan,nan,-1
10.2,False,False,nan,nan,nan,nan,-1
10.3,False,False,nan,nan,nan,nan,-1
10.4,False,False,nan,nan,nan,nan,-1
10.5,False,False,nan,nan,nan,nan,-1
10.6,False,False,nan,nan,nan,nan,-1
10.7,False,False,nan,nan,nan,nan,-1
10.8,False,False,nan,nan,nan,nan,-1
10.9,False,False,nan,nan,nan,nan,-1
11.0,False,False,nan,nan,nan,nan,-1
11.1,False,False,nan,nan,nan,nan,-1
11.2,False,False,nan,nan,nan,nan,-1
11.3,False,False,nan,nan,nan,nan,-1
11.4,False,False,nan,nan,nan,nan,-1
11.5,False,False,nan,nan,nan,nan,-1
11.6,False,False,nan,nan,nan,nan,-1
11.7,False,False,nan,nan,nan,nan,-1
11.8,False,False,nan,nan,nan,nan,-1
11.9,False,False,nan,nan,nan,nan,-1
12.0,False,False,nan,nan,nan,nan,-1
12.1,False,False,nan,nan,nan,nan,-1
12.2,False,False,nan,nan,nan,nan,-1
12.3,False,False,nan,nan,nan,nan,-1
12.4,False,False,nan,nan,nan,nan,-1
12.5,False,False,nan,nan,nan,nan,-1
12.6,False,False,nan,nan,nan,nan,-1
12.7,False,False,nan,nan,nan,nan,-1
12.8,False,False,nan,nan,nan,nan,-1
12.9,False,False,nan,nan,nan,nan,-1
13.0,False,False,nan,nan,nan,nan,-1
13.1,False,False,nan,nan,nan,nan,-1
13.2,False,False,nan,nan,nan,nan,-1
13.3,False,False,nan,nan,nan,nan,-1
13.4,False,False,nan,nan,nan,nan,-1
13.5,False,False,nan,nan,nan,nan,-1
13.6,False,False,nan,nan,nan,nan,-1
13.7,True,True,-29.689589102257468,-44.68958910225747,2.2e-06,3.2453231423,59
13.8,True,True,-29.689594230717233,-44.68959423071723,1.89e-06,3.2453248525,57
13.9,True,True,-29.689585754761087,-44.68958575476108,2.45e-06,3.2453224238,49
14.0,True,True,-29.68959551283217,-44.68959551283217,1.79e-06,3.2453258931,46
14.1,True,True,-29.689594230717233,-44.68959423071723,1.89e-06,3.2453247929,43
14.2,True,True,-29.689594230717233,-44.68959423071723,1.89e-06,3.245324785,39
14.3,True,True,-29.689594230717233,-44.68959423071723,1.89e-06,3.2453247441,35
14.4,True,True,-29.689594729565666,-44.68959472956567,1.87e-06,3.2453249863,31
14.5,True,True,-29.68958831899099,-44.689588318990985,2.2e-06,3.2453229921,27
14.6,True,True,-29.68959551283217,-44.68959551283217,1.84e-06,3.2453252289,24
14.7,True,True,-29.689594729565666,-44.68959472956567,1.89e-06,3.245324671,23
14.8,True,True,-29.689594729565666,-44.68959472956567,1.88e-06,3.2453247758,21
14.9,True,True,-29.689599858025357,-44.68959985802536,1.83e-06,3.2453253128,17
15.0,True,True,-29.689592948602296,-44.6895929486023,1.97e-06,3.245324158,9
15.1,True,True,-29.689597792643934,-44.68959779264394,1.82e-06,3.2453251492,17
15.2,True,True,-29.689592379766207,-44.68959237976621,2.29e-06,3.2453222147,19
15.3,True,True,-29.68959109765128,-44.68959109765128,2.34e-06,3.2453221144,21
15.4,True,True,-29.689593163032686,-44.68959316303268,2.11e-06,3.2453228759,23
15.5,True,True,-29.689592165335803,-44.6895921653358,2.01e-06,3.2453237443,27
15.6,True,True,-29.68959109765128,-44.68959109765128,2.22e-06,3.245322454,29
15.7,True,True,-29.689588034572974,-44.68958803457298,2.36e-06,3.2453221554,33
15.8,True,True,-29.689588034572974,-44.68958803457298,2.36e-06,3.2453221844,37
15.9,True,True,-29.689588817839454,-44.68958881783945,2.3e-06,3.2453222962,41
